view_id,user_id,video_id,watch_time_min,completed,view_date
97,7981,1048,53,Yes,2023-02-01
98,11604,988,50,Yes,2024-06-07
99,9727,1122,62,Yes,2023-12-14
100,5942,1149,57,,2024-06-09
101,22491,953,30,Yes,2023-03-10
102,4863,1034,15,Yes,2023-07-17
103,3937,436,54,Yes,2023-02-22
104,26528,1435,59,No,2023-01-27
105,4586,581,38,Yes,2024-07-16
106,28125,90,39,No,2023-01-25
107,11143,1985,49,Yes,2023-08-24
108,6102,224,42,No,2023-07-03
109,12057,1624,30,Yes,2023-11-13
110,13963,938,31,Yes,2024-04-30
111,20227,917,37,No,2023-09-26
112,5829,1562,38,Yes,2023-01-03
113,6071,813,20,Yes,2023-05-16
114,3500,1969,41,No,2023-03-21
115,28395,840,5,No,2023-04-08
116,26593,200,40,Yes,2023-08-25
117,26924,587,40,Yes,2023-06-15
118,21321,356,43,,2023-10-08
119,13488,384,9,No,2024-07-27
120,19019,691,33,No,2023-05-30
121,27513,107,64,No,2024-08-18
122,7939,504,4,Yes,2023-08-03
123,13896,112,66,Yes,2023-11-20
124,19442,1274,28,Yes,2024-02-11
125,29028,1561,0,Yes,2023-06-15
126,24887,217,50,Yes,2023-12-10
127,26185,752,40,Yes,2023-03-27
128,612,540,10,Yes,2023-06-29
129,16865,416,8,Yes,2023-08-28
130,7383,187,17,No,2023-09-16
131,11459,1649,56,Yes,2024-07-19
132,23595,650,16,Yes,2023-09-27
133,5760,532,52,,2023-12-11
134,25786,2016,43,,2023-09-08
135,13753,92,27,Yes,2024-04-25
136,13162,1275,49,No,2023-12-14
137,28409,1126,68,No,2023-01-10
138,13810,753,16,No,2023-09-25
139,31760,2071,52,Yes,2023-01-31
140,9532,1146,58,Yes,2023-05-26
141,14391,1592,32,,2023-05-18
142,30382,2016,15,No,2023-07-09
143,11336,1393,12,Yes,2023-06-07
144,7467,917,4,Yes,2023-08-01
145,13569,1512,36,No,2023-12-12
146,24383,178,2,Yes,2023-05-12
147,6645,1555,31,No,2024-01-05
148,31101,542,54,Yes,2024-01-31
149,20523,89,14,Yes,2023-09-16
150,21592,1102,53,No,2023-07-30
151,21981,531,56,No,2023-02-17
152,9357,873,29,Yes,2024-05-27
153,19437,126,35,No,2023-09-24
154,10426,953,37,Yes,2023-02-04
155,3010,1769,52,Yes,2024-01-06
156,2977,1720,51,No,2023-12-12
157,14414,409,45,Yes,2024-07-16
158,7370,852,24,Yes,2023-04-28
159,28164,1913,49,Yes,2023-08-11
160,27903,681,42,Yes,2024-08-09
161,18927,1829,10,No,2024-01-27
162,10704,1015,36,No,2023-08-05
163,7329,453,16,Yes,2023-06-26
164,13935,753,3,No,2023-12-10
165,4237,700,61,No,2024-04-25
166,18309,1326,60,Yes,2023-05-06
167,13576,1741,21,Yes,2023-04-23
168,19371,657,26,Yes,2023-11-06
169,17856,457,26,Yes,2024-05-16
170,5999,63,50,Yes,2024-06-27
171,27976,254,42,No,2023-09-28
172,15097,304,60,No,2023-10-21
173,15189,472,26,No,2023-02-28
174,28152,2072,57,Yes,2023-11-19
175,30026,1415,7,Yes,2024-04-30
176,6421,1438,5,,2023-06-13
177,23863,112,45,Yes,2024-08-10
178,30189,422,21,No,2024-08-16
179,12351,1051,44,Yes,2023-04-29
180,31576,184,3,,2024-08-05
181,17213,110,10,Yes,2024-04-28
182,5980,449,50,Yes,2024-05-18
183,24607,1548,8,Yes,2023-05-09
184,17484,1164,69,Yes,2023-02-25
185,24877,1475,53,No,2023-01-10
186,10904,1217,30,No,2023-08-14
187,1599,1824,53,No,2024-05-31
188,14253,233,30,Yes,2024-08-20
189,29724,57,59,Yes,2023-07-22
190,15698,807,46,Yes,2023-09-26
191,21025,509,28,No,2024-02-09
192,19215,169,37,Yes,2023-12-31
193,1692,745,14,No,2024-07-27
194,6075,2057,36,Yes,2024-06-03
195,23836,1735,53,Yes,2023-04-18
196,9256,1466,53,No,2023-11-11
197,15337,906,1,Yes,2024-06-23
198,4428,2096,24,No,2023-05-11
199,14167,578,33,Yes,2024-04-09
200,25502,1582,44,Yes,2023-01-16
201,5464,356,57,Yes,2024-03-14
202,26505,110,37,,2023-05-20
203,26682,310,51,Yes,2023-10-13
204,28522,673,30,Yes,2024-08-19
205,19981,115,18,No,2024-02-25
206,24490,57,69,Yes,2024-05-07
207,20564,1600,24,Yes,2024-08-14
208,20755,1676,45,No,2023-09-24
209,27584,928,57,Yes,2023-03-25
210,13188,1549,42,Yes,2024-07-22
211,8218,966,13,Yes,2024-05-25
212,17587,871,54,Yes,2023-05-08
213,6418,298,69,No,2023-03-05
214,10721,189,64,Yes,2023-01-26
215,8148,2072,59,Yes,2023-11-15
216,6315,588,15,Yes,2024-03-09
217,25470,687,64,No,2024-03-26
218,19903,78,64,,2023-04-27
219,29653,743,66,Yes,2023-02-05
220,14120,45,51,No,2024-01-31
221,13335,202,17,No,2023-06-17
222,3403,1417,3,Yes,2023-01-17
223,11067,1991,30,Yes,2024-03-20
224,30086,1683,18,Yes,2023-10-27
225,2374,740,64,No,2024-06-19
226,5355,1020,57,No,2023-09-08
227,27621,689,29,No,2024-07-25
228,21963,1914,3,Yes,2024-07-22
229,29796,273,67,Yes,2023-01-25
230,31496,1993,42,No,2023-07-31
231,19800,1022,53,No,2023-09-21
232,5611,410,7,Yes,2023-02-23
233,7434,1965,7,,2024-07-01
234,10219,300,33,Yes,2023-12-25
235,20115,357,40,Yes,2023-01-25
236,30872,257,32,Yes,2023-04-11
237,13429,207,61,No,2023-03-08
238,21153,34,35,,2023-09-06
239,15208,724,5,Yes,2024-07-17
240,18135,767,39,Yes,2023-10-28
241,26055,1046,36,Yes,2023-06-27
242,19888,1529,17,No,2023-04-13
243,19845,689,68,Yes,2024-07-14
244,22117,1774,28,Yes,2024-02-22
245,5616,683,62,Yes,2023-10-11
246,8367,260,60,Yes,2023-03-09
247,29815,829,2,Yes,2024-04-14
248,3134,835,42,Yes,2023-03-14
249,16985,354,30,Yes,2024-07-19
250,12109,1071,69,No,2023-10-11
251,21514,1799,11,Yes,2023-06-14
252,29777,464,41,No,2023-10-23
253,2216,1848,2,Yes,2023-01-19
254,5134,30,15,No,2024-04-04
255,701,226,56,Yes,2024-02-24
256,21195,1725,32,Yes,2023-11-26
257,4864,330,55,Yes,2023-06-20
258,2058,882,32,Yes,2024-02-11
259,30063,791,,No,2024-06-05
260,21550,1819,15,Yes,2023-09-23
261,27369,373,45,Yes,2024-03-26
262,18782,1186,25,No,2023-12-01
263,1975,1105,53,,2023-05-02
264,15154,1890,27,,2023-12-02
265,7916,274,33,Yes,2023-03-15
266,3664,1853,26,Yes,2023-05-05
267,16229,1792,64,Yes,2024-04-04
268,6779,70,49,No,2023-01-15
269,3214,504,9,Yes,2023-07-23
270,1540,1565,33,Yes,2023-01-09
271,22311,1454,24,Yes,2023-05-08
272,2947,1015,51,Yes,2024-05-22
273,11064,1001,24,Yes,2024-06-16
274,25365,1196,63,No,2023-08-02
275,17046,58,23,No,2023-02-17
276,5188,1014,53,Yes,2023-08-04
277,29463,1403,63,Yes,2024-06-14
278,9465,407,54,Yes,2023-09-22
279,28036,1627,25,Yes,2023-06-18
280,26623,507,14,Yes,2024-06-28
281,7238,823,46,,2023-11-29
282,18854,1235,8,Yes,2024-06-14
283,15345,572,20,,2024-01-01
284,29465,153,7,Yes,2023-06-18
285,2491,1478,49,Yes,2024-04-12
286,10626,46,45,Yes,2023-01-31
287,10810,1579,16,Yes,2023-02-24
288,11582,533,2,Yes,2023-08-17
289,1761,1636,50,Yes,2023-12-30
290,20901,1370,19,Yes,2024-07-11
291,19426,87,11,Yes,2024-08-11
292,16346,2008,59,Yes,2024-05-05
293,5711,1480,49,Yes,2023-09-26
294,22805,16,42,Yes,2023-01-15
295,24379,1920,0,No,2023-10-14
296,5841,187,60,Yes,2023-03-20
297,15231,1749,52,Yes,2023-03-11
298,17007,1585,25,Yes,2023-01-28
299,15031,40,12,No,2024-03-27
300,1150,1071,59,,2024-01-23
301,24404,287,24,Yes,2024-02-26
302,25592,200,2,Yes,2023-02-19
303,31228,523,10,Yes,2024-04-11
304,15728,384,52,No,2024-01-28
305,7240,409,55,Yes,2023-09-05
306,12359,1860,1,,2023-03-23
307,30913,1913,29,Yes,2023-11-22
308,8707,1193,10,No,2024-02-03
309,10742,671,36,Yes,2023-03-03
310,12220,1404,28,No,2023-09-26
311,9766,34,31,Yes,2023-07-18
312,20326,1335,33,Yes,2023-11-09
313,3810,1703,23,Yes,2024-08-20
314,2335,1406,53,No,2024-03-21
315,1352,1023,57,Yes,2024-02-19
316,7283,1134,56,No,2023-02-23
317,16409,583,2,Yes,2023-12-12
318,6940,406,59,No,2023-10-21
319,29175,226,6,Yes,2024-07-26
320,473,369,34,No,2023-05-04
321,12541,1467,49,No,2023-02-04
322,15732,2043,22,Yes,2023-12-02
323,8449,1337,6,Yes,2024-03-20
324,19792,1545,40,Yes,2023-02-05
325,27133,1825,12,Yes,2023-03-20
326,23674,632,34,Yes,2023-01-13
327,14269,1679,40,Yes,2024-03-20
328,20867,525,18,Yes,2024-07-08
329,29547,526,43,Yes,2023-08-11
330,9264,859,57,Yes,2023-04-28
331,21349,1261,45,Yes,2023-07-27
332,23408,679,19,No,2024-01-03
333,29966,504,24,Yes,2023-08-24
334,18062,679,31,Yes,2023-12-06
335,8362,1228,14,Yes,2023-02-24
336,20721,1338,57,Yes,2023-06-25
337,8823,621,9,No,2023-09-17
338,30385,221,26,Yes,2023-08-21
339,29007,254,41,Yes,2024-07-10
340,11031,608,29,No,2023-10-22
341,21442,2061,28,Yes,2024-04-22
342,15708,547,36,Yes,2024-02-13
343,3837,1966,37,No,2024-05-31
344,30635,141,9,Yes,2023-07-06
345,31935,1330,28,No,2024-06-22
346,20711,2083,30,No,2024-01-03
347,4043,1769,7,,2023-01-19
348,16731,1490,3,No,2023-04-18
349,12950,1742,37,No,2024-06-09
350,15694,706,50,Yes,2024-01-10
351,19895,23,,No,2024-07-25
352,5137,1039,10,Yes,2023-01-18
353,11575,725,14,Yes,2024-06-28
354,12089,663,,No,2024-05-15
355,1464,1757,41,Yes,2023-02-15
356,22439,1036,20,No,2023-08-15
357,18818,604,46,No,2023-11-28
358,27964,1892,23,No,2023-08-06
359,4254,593,33,Yes,2023-04-27
360,9501,1429,36,No,2023-11-27
361,10855,1212,10,No,2024-02-08
362,2939,1460,8,Yes,2023-02-04
363,18418,2058,43,Yes,2023-01-21
364,23040,354,15,Yes,2023-08-08
365,11604,1706,52,No,2024-03-12
366,16992,654,,Yes,2023-09-10
367,14721,1431,35,No,2023-07-02
368,5603,626,20,No,2024-02-23
369,5013,945,30,No,2023-08-26
370,27078,659,44,Yes,2024-08-20
371,30163,1503,31,Yes,2023-08-03
372,12259,963,47,Yes,2023-02-03
373,848,1414,56,Yes,2024-07-30
374,26381,1713,16,Yes,2023-12-24
375,9166,751,53,No,2023-11-24
376,12298,1158,25,Yes,2024-03-30
377,27021,1800,69,Yes,2023-07-27
378,16736,547,54,Yes,2023-03-29
379,24798,1026,1,Yes,2023-06-17
380,28870,1377,27,,2023-10-15
381,12749,477,15,,2023-12-20
382,8313,293,12,No,2023-05-01
383,191,1418,44,Yes,2023-10-14
384,23506,736,68,Yes,2023-03-13
385,29522,607,10,No,2023-08-17
386,19159,1677,,No,2024-08-11
387,28900,1850,67,Yes,2024-03-23
388,10652,1232,52,Yes,2024-02-21
389,13489,1050,62,No,2024-02-16
390,9862,505,5,Yes,2023-05-29
391,13456,1500,15,No,2024-07-02
392,30105,300,36,No,2024-08-21
393,5644,1318,33,No,2024-08-17
394,26364,411,31,Yes,2024-08-21
395,23722,1687,31,No,2024-07-10
396,5020,511,61,No,2024-06-24
397,14621,900,14,Yes,2024-01-14
398,28470,237,54,Yes,2024-06-17
399,9563,1211,43,Yes,2024-01-21
400,13261,1057,22,No,2024-05-11
401,22992,251,15,Yes,2024-05-05
402,15958,892,20,No,2024-05-10
403,22292,726,60,,2023-03-24
404,5120,1267,46,No,2023-11-30
405,30459,1241,61,Yes,2023-08-06
406,19745,834,22,No,2023-01-07
407,24263,1972,68,No,2023-10-25
408,228,1290,1,Yes,2023-09-12
409,26092,387,37,,2023-04-04
410,31113,950,,No,2024-06-10
411,116,158,61,No,2023-12-08
412,24971,1376,59,Yes,2024-06-02
413,6489,945,51,Yes,2024-05-06
414,31009,975,29,No,2023-02-16
415,27178,1506,18,Yes,2024-05-31
416,14191,1718,31,No,2024-05-17
417,11092,878,1,Yes,2023-10-14
418,10466,1966,58,Yes,2023-10-12
419,18747,2063,19,Yes,2023-05-22
420,18422,463,32,No,2024-01-10
421,24251,1672,21,Yes,2023-01-26
422,27161,1149,17,Yes,2024-04-25
423,3954,815,48,No,2023-06-16
424,30316,1915,36,No,2024-06-14
425,13263,2032,6,Yes,2023-08-09
426,16795,1594,44,No,2024-04-30
427,31218,108,21,Yes,2023-06-03
428,23009,1575,67,No,2023-07-26
429,18655,976,21,Yes,2024-08-05
430,13967,1942,2,No,2023-12-14
431,22605,1783,39,Yes,2024-07-29
432,24617,346,22,Yes,2023-03-08
433,30544,302,16,No,2023-12-14
434,27870,989,53,,2023-09-09
435,15313,242,3,Yes,2023-08-31
436,30930,36,64,Yes,2023-06-10
437,13717,34,61,No,2023-05-21
438,9568,654,10,No,2024-02-07
439,1484,65,40,Yes,2024-07-09
440,26231,1533,65,No,2023-02-18
441,13369,1699,59,Yes,2023-08-01
442,22273,108,18,Yes,2024-05-20
443,25421,1726,2,Yes,2024-07-02
444,1736,605,53,No,2024-06-11
445,28716,1305,63,Yes,2023-06-10
446,27377,401,68,Yes,2024-04-07
447,31721,2039,0,No,2023-09-12
448,30970,753,12,No,2024-05-29
449,15182,70,35,Yes,2023-02-27
450,12368,1485,31,,2023-08-16
451,21042,1935,4,Yes,2023-05-04
452,26387,919,53,Yes,2024-01-12
453,15946,1056,67,,2024-03-25
454,11455,1494,19,No,2023-10-24
455,25823,1066,48,No,2023-09-19
456,4068,624,50,Yes,2023-08-15
457,18371,512,10,No,2024-07-25
458,20610,190,34,Yes,2023-07-22
459,6629,863,16,No,2024-07-04
460,17554,324,34,No,2023-04-16
461,7310,896,13,Yes,2024-03-19
462,19394,793,38,No,2023-04-28
463,6808,1687,30,Yes,2024-07-10
464,23870,1325,10,No,2023-07-04
465,578,390,12,No,2024-08-23
466,17432,1861,59,Yes,2023-07-03
467,24526,1345,64,Yes,2023-12-23
468,10936,1505,32,No,2024-06-28
469,3329,1480,69,Yes,2023-09-09
470,20526,1016,54,Yes,2024-08-18
471,17013,521,60,Yes,2023-05-18
472,19019,17,21,Yes,2024-06-07
473,28175,1247,30,Yes,2023-03-05
474,4985,1606,54,No,2024-01-01
475,14728,586,,Yes,2024-04-06
476,21405,1414,46,No,2023-04-24
477,14843,1743,17,Yes,2023-08-09
478,286,641,66,Yes,2023-07-10
479,10986,2072,40,No,2024-04-06
480,27481,1139,32,,2023-01-02
481,19267,136,4,Yes,2024-03-22
482,28658,1619,53,No,2023-01-12
483,29953,542,19,Yes,2023-10-22
484,19419,477,9,Yes,2024-01-07
485,28312,130,64,,2024-05-18
486,23320,878,9,,2023-07-23
487,28776,2056,64,No,2023-09-01
488,30851,726,61,Yes,2024-06-22
489,3521,1047,13,No,2023-10-03
490,8761,1297,23,Yes,2023-05-19
491,25927,589,2,No,2024-02-25
492,4727,1280,14,Yes,2023-11-23
493,12662,93,67,Yes,2024-02-11
494,18699,1681,22,No,2023-03-09
495,5572,352,11,No,2023-04-29
496,26706,621,7,Yes,2023-03-13
497,1419,1852,67,Yes,2024-07-10
498,29409,1158,50,No,2024-05-02
499,4203,774,63,Yes,2024-05-03
500,1641,493,13,No,2024-04-20
501,6722,1121,22,No,2024-04-13
502,1462,1059,19,No,2023-02-11
503,2040,1000,49,No,2023-05-01
504,28375,1123,3,No,2023-05-11
505,24537,505,16,Yes,2023-11-22
506,9737,60,15,No,2023-03-02
507,24084,1672,26,Yes,2023-05-13
508,29294,565,20,No,2024-06-20
509,7919,51,12,No,2023-11-25
510,19209,831,19,Yes,2023-03-12
511,27325,1556,6,Yes,2023-02-28
512,17295,225,58,No,2024-07-31
513,573,184,35,No,2024-07-14
514,11004,789,44,Yes,2024-06-10
515,22506,1931,4,Yes,2024-03-14
516,9122,623,32,No,2023-08-22
517,1664,1559,50,,2023-11-18
518,5071,1216,39,Yes,2023-01-14
519,8545,1652,42,Yes,2024-02-21
520,25324,310,12,Yes,2023-06-07
521,13974,80,66,Yes,2023-12-14
522,13492,602,37,Yes,2024-01-28
523,29668,1461,46,No,2023-08-30
524,15870,1029,33,Yes,2024-07-30
525,7338,2060,60,No,2024-05-23
526,526,125,,Yes,2023-02-15
527,637,788,39,No,2024-07-04
528,1642,2098,69,Yes,2023-01-13
529,25323,1787,56,Yes,2024-07-01
530,21519,1037,30,No,2023-08-25
531,8225,317,48,No,2023-09-22
532,17910,1463,33,Yes,2023-10-16
533,17795,706,44,No,2024-01-06
534,30983,1908,69,Yes,2024-01-19
535,26926,1025,26,Yes,2023-06-27
536,11185,1475,33,Yes,2023-10-30
537,3496,2031,18,No,2024-04-10
538,9257,1817,63,No,2023-11-06
539,23796,23,32,Yes,2023-12-12
540,5173,390,1,No,2023-03-08
541,568,1329,9,Yes,2023-07-16
542,1093,511,24,No,2024-04-07
543,26906,1994,53,No,2023-06-16
544,25972,357,16,No,2024-02-05
545,1509,737,12,Yes,2024-07-30
546,14594,1251,7,Yes,2023-01-14
547,1018,1253,65,No,2023-07-21
548,19762,1719,66,No,2024-01-12
549,16509,260,37,Yes,2024-04-08
550,21249,1807,18,,2024-02-07
551,29764,1200,50,Yes,2023-11-11
552,11164,1493,40,Yes,2024-01-11
553,10858,46,30,No,2023-05-02
554,9592,1662,9,,2024-07-01
555,22394,538,42,Yes,2023-11-13
556,4154,1931,,Yes,2023-05-11
557,28730,1385,39,Yes,2023-05-12
558,27786,2063,52,Yes,2023-07-29
559,25743,1118,61,Yes,2023-12-30
560,8466,867,25,Yes,2024-07-24
561,20159,1886,57,Yes,2023-12-02
562,18572,1602,1,No,2024-07-15
563,5320,485,67,Yes,2024-02-10
564,20350,31,60,Yes,2023-05-13
565,25258,1573,55,Yes,2024-04-28
566,25153,378,38,Yes,2023-06-29
567,12963,1075,10,Yes,2024-03-23
568,28998,58,37,Yes,2023-06-19
569,17143,196,32,No,2023-12-01
570,7214,717,26,No,2023-02-26
571,3216,1192,8,Yes,2023-05-07
572,14229,179,45,No,2023-07-04
573,8759,2009,50,Yes,2024-02-19
574,9997,2087,46,Yes,2023-03-07
575,18310,1693,67,No,2023-09-06
576,11623,822,13,No,2023-08-20
577,3188,415,6,No,2023-07-24
578,23965,300,1,Yes,2023-10-09
579,5250,1949,67,Yes,2024-07-22
580,19832,263,60,No,2024-04-13
581,22833,307,33,Yes,2023-11-22
582,19268,1738,29,Yes,2024-06-25
583,13140,1295,22,No,2023-07-08
584,20529,1088,3,No,2024-08-16
585,30856,1180,19,No,2024-05-21
586,14518,580,32,No,2024-07-29
587,23554,243,63,,2023-12-24
588,10116,183,50,No,2024-03-16
589,29303,1270,29,Yes,2024-02-21
590,11753,731,52,Yes,2024-07-18
591,16231,1909,59,,2023-06-24
592,21074,7,17,No,2023-01-27
593,9390,1078,12,No,2023-12-11
594,16929,742,51,Yes,2023-05-16
595,23050,755,68,No,2024-06-16
596,30525,1598,6,No,2023-10-19
597,3687,430,22,No,2023-06-07
598,22969,1898,43,No,2023-05-28
599,12370,184,44,No,2023-07-06
600,4051,1270,31,Yes,2023-08-27
601,21471,1036,48,Yes,2024-07-07
602,19151,1491,27,Yes,2024-01-04
603,6324,480,39,Yes,2024-04-16
604,11897,983,17,Yes,2023-09-11
605,26983,1696,5,No,2023-01-14
606,10978,1140,52,Yes,2023-09-04
607,6196,2092,1,No,2024-02-23
608,5204,490,34,No,2023-07-04
609,20512,924,62,Yes,2024-06-02
610,8830,1237,57,Yes,2024-07-05
611,5504,2048,26,No,2023-03-23
612,3508,2016,50,Yes,2023-10-29
613,28956,374,27,Yes,2023-04-08
614,21786,1121,32,No,2023-11-08
615,3495,1155,65,No,2024-01-19
616,5094,783,64,No,2023-05-10
617,16274,794,37,Yes,2023-05-13
618,24174,201,50,Yes,2023-06-23
619,3595,1929,14,,2023-01-25
620,28907,1569,44,No,2023-05-15
621,7754,1595,44,Yes,2023-11-30
622,12350,361,43,,2024-08-18
623,1922,1687,56,No,2024-07-16
624,13731,1798,24,Yes,2024-08-16
625,28586,1486,17,No,2023-02-09
626,25185,983,36,Yes,2023-07-08
627,14448,1375,4,Yes,2023-06-19
628,19470,116,48,No,2024-01-10
629,27785,1585,3,Yes,2024-02-07
630,20487,657,5,Yes,2023-01-02
631,7191,1738,68,Yes,2023-04-17
632,22841,662,57,Yes,2024-05-25
633,26055,1814,8,No,2024-04-06
634,1217,738,39,Yes,2023-01-01
635,8340,1147,31,Yes,2023-08-07
636,19001,1807,44,Yes,2024-04-23
637,12086,761,21,Yes,2024-05-10
638,15278,1255,9,Yes,2023-02-03
639,29027,121,68,Yes,2023-03-06
640,26150,1348,66,Yes,2023-04-24
641,24367,683,61,Yes,2024-01-10
642,20724,969,54,No,2024-08-18
643,30319,1968,24,Yes,2023-12-04
644,10248,360,27,Yes,2023-11-02
645,21471,310,52,Yes,2023-05-11
646,13331,1543,53,Yes,2023-04-02
647,965,1559,63,Yes,2023-09-28
648,16301,809,51,Yes,2023-12-02
649,27170,573,10,Yes,2023-04-01
650,3756,1675,46,No,2024-02-08
651,20480,370,22,Yes,2023-05-27
652,20944,682,60,No,2023-08-31
653,7431,1762,19,Yes,2023-03-02
654,13161,1124,35,No,2023-05-16
655,2069,845,55,,2024-01-06
656,24620,491,4,Yes,2023-06-23
657,3353,79,63,Yes,2023-11-21
658,20271,558,67,Yes,2023-02-01
659,10221,1257,5,No,2023-08-30
660,11394,1130,51,Yes,2024-03-20
661,6080,225,9,No,2024-02-04
662,29000,2054,45,Yes,2023-08-23
663,31315,330,1,Yes,2024-07-23
664,26730,1174,63,Yes,2023-06-11
665,12901,363,27,No,2023-08-21
666,19283,2067,57,No,2023-04-05
667,28341,1449,1,Yes,2023-06-21
668,26421,1055,32,Yes,2023-11-17
669,15809,190,69,Yes,2023-09-16
670,11164,565,28,Yes,2023-10-12
671,18280,1248,14,No,2024-01-19
672,14798,217,18,Yes,2024-08-12
673,21143,294,14,No,2024-04-30
674,31112,1146,65,No,2023-09-15
675,29731,1405,1,No,2024-05-14
676,5599,1787,18,Yes,2024-03-31
677,15511,444,49,No,2023-01-10
678,2350,2057,32,No,2024-06-11
679,7239,1156,27,Yes,2024-03-09
680,15874,845,14,Yes,2023-08-15
681,21715,1651,35,No,2024-02-13
682,6236,362,63,No,2024-04-22
683,29222,441,42,No,2023-02-25
684,4132,8,36,Yes,2023-02-11
685,26036,2010,64,No,2023-02-21
686,13793,1273,37,No,2023-12-02
687,1405,1052,31,No,2024-02-11
688,9912,1756,11,Yes,2023-04-24
689,10770,465,44,Yes,2023-10-03
690,10662,492,58,Yes,2023-04-12
691,138,343,18,No,2023-07-13
692,794,2016,49,Yes,2023-09-04
693,11904,757,16,Yes,2023-01-20
694,20687,1866,51,Yes,2023-12-26
695,1339,2019,33,Yes,2024-01-12
696,16224,1603,66,Yes,2024-02-05
697,20945,1618,18,Yes,2023-08-25
698,5889,607,66,Yes,2024-03-10
699,13199,1929,1,Yes,2023-11-19
700,8162,1989,69,No,2023-02-26
701,24694,627,19,No,2023-07-17
702,10564,1483,51,No,2023-07-01
703,6363,1333,31,No,2023-07-29
704,6056,1536,64,Yes,2023-12-04
705,12551,1925,24,Yes,2023-10-23
706,1188,1400,46,Yes,2023-07-03
707,26349,1975,1,Yes,2024-02-05
708,8820,2028,64,Yes,2024-06-06
709,7389,1071,31,Yes,2023-07-11
710,20784,22,23,Yes,2024-07-29
711,21397,1489,8,No,2024-02-22
712,10044,1699,16,No,2024-06-28
