subscription_id,user_id,plan_type,revenue,start_date
219,1400,Monthly,120,2023-10-13
220,8498,Yearly,50,2024-02-03
221,7640,Quarterly,120,2023-07-06
222,1433,Yearly,50,2024-05-29
223,8461,Quarterly,120,2023-08-02
224,1652,Quarterly,50,2024-05-09
225,26037,Monthly,120,2023-04-11
226,18882,Monthly,400,2023-01-29
227,4571,Quarterly,120,2023-12-20
228,9382,Monthly,,2024-08-20
229,1605,Quarterly,400,2024-07-18
230,22083,Yearly,400,2023-04-07
231,8986,Quarterly,120,2024-07-10
232,13096,Monthly,50,2023-01-21
233,10595,Quarterly,400,2023-06-10
234,9533,Quarterly,120,2023-09-14
235,22404,Monthly,120,2023-01-02
236,13665,Yearly,400,2024-07-24
237,20284,Yearly,50,2023-10-19
238,5125,Quarterly,120,2024-02-11
239,20950,Monthly,50,2023-10-21
240,8441,Yearly,120,2023-08-04
241,29788,Monthly,400,2023-02-28
242,21451,Yearly,50,2024-06-15
243,3743,Monthly,50,2024-05-28
244,1090,Yearly,50,2023-05-22
245,15243,Yearly,120,2023-12-18
246,18448,Quarterly,50,2023-04-02
247,30550,Quarterly,400,2023-08-09
248,25361,Quarterly,120,2023-05-04
249,21375,Monthly,120,2023-07-22
250,25932,Monthly,50,2023-02-09
251,24970,Yearly,,2024-03-16
252,30045,Quarterly,120,2023-08-25
253,13050,Quarterly,120,2024-07-21
254,19968,Quarterly,50,2024-05-06
255,393,Monthly,50,2023-02-26
256,13450,Monthly,400,2023-08-11
257,30120,Quarterly,50,2023-02-01
258,1849,Monthly,,2024-02-18
259,28763,Monthly,50,2023-07-21
260,26929,Quarterly,400,2023-06-18
261,4732,Monthly,120,2024-06-19
262,17225,Monthly,120,2023-08-25
263,17921,Quarterly,400,2023-08-14
264,27712,Monthly,120,2023-10-23
265,24630,Quarterly,50,2024-06-02
266,29912,Yearly,50,2023-07-22
267,6235,Monthly,50,2023-12-08
268,17982,Monthly,400,2023-08-18
269,8106,Monthly,120,2023-05-18
270,22148,Monthly,120,2023-07-11
271,20851,Yearly,50,2023-11-23
272,14386,Yearly,120,2023-03-14
273,5371,Monthly,120,2024-05-28
274,9609,Yearly,50,2023-08-25
275,24400,Yearly,50,2023-02-10
276,2352,Yearly,120,2023-09-10
277,6430,Quarterly,50,2024-04-27
278,11441,Monthly,400,2024-02-07
279,9305,Monthly,120,2024-03-24
280,15798,Quarterly,120,2024-03-28
281,22913,Monthly,120,2024-08-03
282,6626,Monthly,120,2023-01-27
283,27545,Monthly,120,2023-10-17
284,1645,Monthly,400,2023-03-07
285,27069,Quarterly,50,2023-06-24
286,1710,Quarterly,50,2023-08-13
287,9592,Monthly,50,2023-05-31
288,24996,Yearly,50,2023-10-30
289,20140,Yearly,,2023-02-08
290,5017,Monthly,120,2024-01-30
291,11771,Yearly,400,2023-06-13
292,2637,Yearly,50,2023-10-14
293,5687,Monthly,50,2024-02-12
294,14537,Monthly,50,2024-07-06
295,15639,Monthly,50,2023-09-06
296,3037,Monthly,120,2023-09-15
297,22741,Quarterly,120,2023-10-11
298,11767,Monthly,120,2023-03-28
299,15294,Yearly,400,2024-01-06
300,6636,Quarterly,400,2024-05-15
301,2939,Yearly,400,2023-07-03
302,14050,Monthly,50,2024-04-16
303,26787,Yearly,120,2023-08-12
304,4237,Yearly,400,2023-09-14
305,25221,Yearly,,2023-01-31
306,20446,Monthly,50,2024-07-18
307,7322,Monthly,50,2023-05-04
308,11455,Monthly,50,2024-05-10
309,26279,Monthly,400,2024-05-01
310,14772,Quarterly,120,2024-02-14
311,13005,Monthly,50,2023-01-02
312,18334,Quarterly,120,2023-05-19
313,29473,Yearly,50,2023-07-26
314,5208,Yearly,400,2023-02-04
315,30710,Yearly,50,2023-08-09
316,14319,Monthly,120,2023-02-03
317,28854,Yearly,400,2023-12-22
318,22816,Monthly,120,2023-10-16
319,11917,Monthly,50,2023-06-28
320,6660,Monthly,50,2024-07-25
321,11846,Yearly,50,2023-07-16
322,27370,Monthly,50,2023-07-25
323,2443,Monthly,50,2023-04-24
324,2550,Yearly,400,2024-04-25
325,12494,Quarterly,120,2024-01-16
326,23217,Monthly,50,2023-12-20
327,1062,Monthly,400,2023-03-29
328,27835,Yearly,120,2023-06-19
329,14319,Monthly,400,2023-09-20
330,3449,Yearly,120,2023-11-07
331,18004,Yearly,400,2023-03-21
332,25824,Yearly,50,2023-10-11
333,21436,Monthly,50,2023-01-12
334,22748,Quarterly,120,2023-11-24
335,28678,Quarterly,50,2023-02-10
336,8592,Monthly,120,2023-04-03
337,409,Monthly,400,2023-05-01
338,25149,Monthly,400,2024-04-12
339,11316,Yearly,50,2024-03-05
340,4652,Quarterly,400,2024-07-22
341,23208,Quarterly,400,2023-04-22
342,6951,Monthly,120,2023-11-21
343,21033,Monthly,400,2023-04-27
344,29767,Monthly,50,2023-07-16
345,27501,Monthly,50,2023-12-28
346,6203,Quarterly,50,2024-03-09
347,5305,Monthly,120,2023-01-13
348,7761,Monthly,50,2024-06-05
349,14849,Yearly,120,2023-11-03
350,17675,Quarterly,120,2023-08-22
351,17793,Monthly,400,2023-07-22
352,16629,Yearly,400,2023-01-18
353,29878,Monthly,50,2023-11-05
354,29312,Yearly,120,2024-07-05
355,2577,Yearly,120,2024-07-06
356,2712,Yearly,50,2023-04-23
357,2008,Monthly,50,2024-07-20
358,21034,Monthly,50,2023-03-29
359,9508,Monthly,400,2023-12-16
360,7970,Monthly,,2024-05-08
361,24328,Quarterly,50,2023-01-02
362,25245,Quarterly,50,2023-02-18
363,33,Yearly,120,2024-06-17
364,16386,Monthly,50,2023-04-11
365,19492,Yearly,50,2023-05-17
366,13092,Quarterly,50,2024-08-18
367,16238,Yearly,50,2024-04-12
368,8138,Yearly,400,2023-01-19
369,24244,Yearly,120,2024-07-27
370,29907,Yearly,120,2024-01-08
371,26829,Yearly,400,2023-03-01
372,11184,Monthly,400,2023-09-06
373,28017,Yearly,400,2023-10-07
374,29905,Yearly,50,2024-06-06
375,20005,Yearly,,2023-03-18
376,22456,Monthly,50,2024-08-14
377,12491,Quarterly,,2024-02-06
378,22339,Monthly,120,2023-05-19
379,8932,Yearly,400,2023-03-15
380,635,Monthly,400,2023-04-26
381,4927,Yearly,50,2024-01-18
382,21873,Yearly,400,2023-08-18
383,16020,Yearly,400,2024-02-28
384,13861,Monthly,400,2023-09-03
385,23473,Quarterly,120,2024-01-29
386,27601,Yearly,400,2023-04-12
387,7935,Quarterly,50,2024-07-06
388,1597,Quarterly,120,2024-03-28
389,24239,Quarterly,,2023-08-20
390,782,Monthly,50,2023-12-29
391,22185,Monthly,50,2023-09-22
392,24655,Yearly,400,2023-10-07
393,1492,Yearly,50,2023-02-01
394,6465,Quarterly,50,2024-05-09
395,2721,Quarterly,50,2024-05-19
396,24528,Monthly,400,2024-04-23
397,23637,Monthly,,2024-02-17
398,14005,Quarterly,400,2023-09-23
399,16135,Monthly,400,2023-11-13
400,7672,Quarterly,120,2023-06-21
401,4585,Quarterly,400,2023-05-04
402,3328,Yearly,120,2023-07-20
403,15212,Quarterly,400,2024-03-16
404,22089,Yearly,50,2023-10-02
405,30479,Quarterly,400,2024-04-26
406,24707,Quarterly,120,2023-07-02
407,86,Quarterly,50,2024-05-27
408,5141,Quarterly,400,2023-01-24
409,20867,Monthly,,2023-09-12
410,20346,Quarterly,120,2024-05-05
411,12890,Yearly,120,2023-10-07
412,22905,Quarterly,400,2023-10-01
413,12987,Monthly,50,2024-04-03
414,22832,Quarterly,50,2023-09-11
415,25278,Quarterly,400,2023-07-11
416,17224,Yearly,120,2024-08-22
417,13952,Yearly,50,2023-03-28
418,20693,Yearly,400,2023-07-21
419,4609,Yearly,50,2023-08-10
420,8219,Monthly,120,2023-02-16
421,23499,Monthly,120,2023-10-13
422,8346,Monthly,50,2024-06-21
423,387,Monthly,400,2023-01-02
424,23291,Yearly,50,2023-01-25
425,28061,Yearly,400,2023-05-30
426,25769,Quarterly,50,2023-11-02
427,8788,Yearly,400,2023-02-23
428,20642,Monthly,50,2023-01-03
429,23280,Yearly,120,2024-04-10
430,14196,Monthly,50,2023-05-05
431,30539,Quarterly,50,2023-06-28
432,6805,Monthly,120,2023-06-01
433,3682,Monthly,50,2023-07-22
434,7608,Yearly,50,2023-08-21
435,4486,Quarterly,400,2024-03-22
436,1374,Quarterly,120,2023-12-21
437,27721,Quarterly,50,2024-03-24
438,4977,Yearly,50,2024-03-28
439,1228,Quarterly,50,2024-05-07
440,3741,Quarterly,120,2023-11-10
441,19240,Yearly,120,2023-06-03
442,16570,Quarterly,120,2023-03-07
443,20780,Quarterly,400,2024-02-24
444,19297,Quarterly,120,2023-08-19
445,6154,Yearly,400,2023-12-29
446,13067,Quarterly,400,2023-06-05
447,27997,Yearly,50,2024-08-09
448,16875,Quarterly,120,2023-06-14
449,23511,Yearly,400,2023-10-02
450,19289,Monthly,400,2023-10-30
451,28512,Monthly,50,2023-11-30
452,6455,Quarterly,120,2023-07-02
453,25084,Monthly,400,2023-04-30
454,26631,Yearly,120,2023-11-18
455,4279,Monthly,50,2023-12-31
456,24977,Quarterly,120,2024-03-26
457,672,Quarterly,50,2024-02-23
458,26024,Monthly,50,2024-05-24
459,12836,Yearly,50,2023-02-28
460,17995,Yearly,120,2023-04-04
461,18771,Yearly,50,2024-03-20
462,27861,Yearly,120,2023-09-11
463,29005,Quarterly,50,2023-09-21
464,12524,Monthly,50,2024-07-17
465,22632,Quarterly,400,2024-06-09
466,23114,Monthly,50,2024-03-30
467,19723,Yearly,,2023-08-13
468,12636,Monthly,120,2023-05-23
469,12029,Yearly,50,2023-05-14
470,12457,Quarterly,400,2023-12-17
471,9571,Monthly,50,2024-05-25
472,26947,Monthly,50,2024-04-21
473,14424,Quarterly,400,2023-04-08
474,24863,Quarterly,400,2023-03-06
475,29275,Quarterly,400,2023-07-12
476,14616,Quarterly,50,2024-08-19
477,17089,Quarterly,400,2023-05-10
478,15255,Monthly,120,2023-12-12
479,30924,Yearly,400,2023-04-02
480,22790,Monthly,50,2023-08-11
481,13974,Monthly,400,2024-02-15
482,20772,Monthly,50,2024-01-01
483,28686,Quarterly,400,2024-07-18
484,25256,Yearly,120,2023-12-30
485,8319,Yearly,50,2023-10-11
486,10088,Monthly,400,2024-05-03
487,30737,Monthly,,2023-05-02
488,6736,Yearly,400,2023-08-10
489,7026,Monthly,50,2024-03-13
490,3356,Monthly,120,2023-02-06
491,23042,Yearly,120,2024-08-01
492,26311,Quarterly,50,2023-06-23
493,29727,Yearly,120,2024-01-29
494,15991,Yearly,120,2023-11-09
495,14427,Monthly,,2023-02-28
496,2462,Monthly,50,2023-08-01
497,12506,Quarterly,120,2024-05-25
498,12656,Yearly,50,2023-04-11
499,21174,Yearly,50,2024-01-31
500,27783,Yearly,50,2023-09-15
501,17848,Quarterly,50,2024-08-10
502,27405,Yearly,400,2023-03-02
503,29318,Quarterly,120,2023-04-02
504,16540,Yearly,400,2024-05-20
505,965,Quarterly,50,2024-02-23
506,27491,Yearly,,2023-09-10
507,6092,Monthly,120,2024-07-21
508,6920,Quarterly,400,2023-09-08
509,16433,Quarterly,50,2023-01-03
510,26516,Yearly,50,2023-09-09
511,1773,Yearly,120,2024-02-13
512,10679,Monthly,50,2023-02-05
513,7194,Yearly,120,2023-05-23
514,27918,Monthly,50,2023-10-30
515,26977,Yearly,50,2023-09-16
516,11541,Yearly,50,2024-08-12
517,28890,Yearly,120,2023-07-06
518,17354,Monthly,400,2023-05-02
519,3202,Quarterly,120,2024-01-09
520,11480,Quarterly,120,2024-08-18
521,9433,Yearly,400,2024-02-11
522,9897,Monthly,400,2023-08-21
523,13489,Yearly,50,2023-01-18
524,19718,Monthly,,2023-08-10
525,3357,Yearly,50,2024-02-09
526,516,Monthly,120,2023-03-05
527,1389,Monthly,50,2024-02-02
528,25935,Monthly,400,2023-12-28
529,18240,Yearly,120,2024-07-12
530,3302,Yearly,50,2023-07-16
531,14629,Yearly,400,2024-03-11
532,27501,Yearly,,2024-08-23
533,6623,Yearly,,2023-02-19
534,19660,Quarterly,50,2024-06-02
535,15676,Monthly,120,2023-07-22
536,30661,Yearly,120,2024-02-12
537,14882,Yearly,50,2023-12-31
538,18286,Monthly,50,2023-06-25
539,3574,Quarterly,50,2023-10-20
540,9105,Quarterly,50,2023-05-16
541,30698,Yearly,400,2023-03-13
542,496,Quarterly,50,2023-01-21
543,5607,Yearly,400,2023-12-20
544,20165,Yearly,400,2023-11-12
545,1053,Quarterly,400,2024-04-03
546,28934,Monthly,50,2023-12-27
547,16860,Quarterly,50,2023-01-07
548,26743,Quarterly,400,2023-10-03
549,3750,Yearly,50,2023-01-16
550,21391,Quarterly,400,2023-12-14
551,28457,Monthly,50,2024-06-30
552,30687,Yearly,50,2023-06-27
553,9947,Monthly,,2024-05-29
554,1677,Quarterly,50,2023-04-04
555,26278,Monthly,400,2023-05-23
556,12132,Yearly,,2024-04-13
557,9584,Monthly,120,2023-10-03
558,436,Yearly,400,2023-12-23
559,27190,Quarterly,400,2023-10-01
560,4423,Yearly,50,2023-02-10
561,7195,Yearly,120,2023-10-20
562,14275,Yearly,50,2024-01-30
563,23963,Yearly,400,2023-01-12
564,17641,Quarterly,120,2023-06-02
565,10960,Yearly,120,2024-08-05
566,7067,Monthly,120,2023-02-18
567,27511,Yearly,,2023-07-30
568,28702,Monthly,120,2024-02-21
569,21568,Quarterly,400,2023-08-23
570,9820,Quarterly,400,2024-04-30
571,29507,Monthly,50,2023-11-19
572,9055,Yearly,120,2024-02-24
573,21099,Yearly,120,2023-12-12
574,13052,Yearly,120,2023-01-26
575,26259,Quarterly,50,2023-08-04
576,12828,Quarterly,120,2023-08-14
577,25016,Monthly,50,2024-01-18
578,13281,Monthly,50,2023-06-10
579,7412,Yearly,400,2023-05-16
580,16739,Quarterly,400,2023-05-22
581,26073,Quarterly,400,2023-12-11
582,6780,Monthly,50,2023-04-11
583,11678,Monthly,50,2024-06-02
584,30063,Yearly,400,2024-04-20
585,11357,Monthly,50,2023-07-14
586,12298,Yearly,120,2023-03-21
587,4859,Yearly,50,2024-03-18
588,29627,Quarterly,50,2024-02-07
589,16599,Quarterly,400,2023-12-28
590,12081,Yearly,50,2023-01-20
591,28696,Yearly,50,2023-12-15
592,11917,Monthly,400,2024-01-03
593,30763,Quarterly,120,2023-09-11
594,16520,Quarterly,400,2024-01-12
595,12614,Monthly,400,2023-06-04
596,19885,Monthly,50,2023-10-13
597,28202,Yearly,400,2024-08-17
598,23724,Quarterly,120,2024-04-07
599,5439,Monthly,400,2023-01-02
600,10032,Quarterly,120,2023-10-01
601,30503,Monthly,400,2023-05-07
602,21187,Quarterly,50,2023-12-07
603,9897,Monthly,50,2023-06-26
604,6683,Quarterly,400,2023-02-01
605,16331,Yearly,120,2023-05-24
606,6879,Monthly,400,2024-04-20
607,15079,Yearly,400,2023-10-13
608,11565,Quarterly,120,2023-01-19
609,6052,Quarterly,120,2024-01-31
610,3434,Quarterly,120,2024-04-21
611,6177,Monthly,400,2023-04-03
612,14559,Monthly,400,2023-03-03
613,15407,Quarterly,50,2023-12-01
614,25249,Quarterly,50,2023-12-18
615,8213,Yearly,,2023-08-09
616,6122,Monthly,400,2024-05-11
617,9173,Monthly,400,2023-09-27
618,3129,Monthly,50,2023-01-17
619,5420,Monthly,50,2024-03-10
620,19067,Yearly,400,2023-02-27
621,14922,Yearly,400,2023-05-19
622,11692,Monthly,120,2024-03-22
623,28624,Quarterly,50,2024-07-04
624,29076,Monthly,50,2023-08-06
625,20043,Monthly,50,2023-08-17
626,17749,Monthly,,2023-03-20
627,18410,Quarterly,400,2023-10-29
628,16104,Yearly,120,2023-01-30
629,29406,Yearly,50,2023-04-23
630,4029,Quarterly,400,2024-01-22
631,9165,Yearly,120,2024-05-21
632,25653,Yearly,120,2024-05-02
633,9615,Yearly,50,2023-09-22
634,3411,Yearly,50,2024-04-06
635,366,Yearly,120,2023-02-26
636,30068,Quarterly,50,2023-04-27
637,30497,Monthly,50,2024-06-28
638,2223,Quarterly,400,2024-08-07
639,28854,Quarterly,120,2024-03-12
640,6897,Monthly,,2023-12-01
641,14511,Yearly,120,2023-10-14
642,19099,Quarterly,120,2023-12-23
643,4526,Monthly,120,2023-06-12
644,19308,Monthly,50,2023-03-10
645,22821,Yearly,50,2023-04-08
646,10597,Yearly,400,2023-06-01
647,4997,Monthly,,2023-05-09
648,21666,Quarterly,120,2023-07-09
649,20573,Yearly,120,2024-02-06
650,9686,Monthly,120,2024-07-19
651,23908,Yearly,400,2023-10-22
652,13081,Monthly,120,2023-05-14
653,20041,Quarterly,120,2024-03-27
654,6200,Yearly,50,2023-11-18
655,2487,Yearly,400,2024-01-07
656,2699,Monthly,50,2024-06-21
657,412,Yearly,400,2024-06-29
658,6100,Monthly,400,2023-03-28
659,16298,Quarterly,400,2023-06-18
660,20885,Monthly,50,2024-01-26
661,208,Yearly,50,2023-01-26
662,29094,Monthly,120,2023-07-19
663,3557,Quarterly,50,2023-04-30
664,1176,Quarterly,120,2023-08-04
665,27949,Monthly,120,2024-06-22
666,9686,Quarterly,400,2024-03-11
667,10506,Quarterly,400,2024-08-18
668,6578,Monthly,120,2024-05-02
669,4374,Yearly,50,2023-08-13
670,16331,Yearly,50,2023-05-04
671,28597,Monthly,120,2024-08-03
672,2465,Monthly,50,2023-11-14
673,7450,Monthly,400,2023-05-09
674,5282,Monthly,400,2023-09-10
675,26577,Monthly,400,2024-05-09
676,715,Yearly,,2024-04-15
677,23178,Monthly,50,2024-07-24
678,12292,Monthly,,2023-03-03
679,8402,Yearly,50,2023-08-14
680,21580,Yearly,400,2024-03-05
681,18535,Monthly,50,2024-04-22
682,22148,Monthly,120,2024-08-21
683,22692,Quarterly,50,2023-06-07
684,20255,Monthly,120,2023-06-06
685,14094,Yearly,120,2023-10-08
686,16957,Monthly,120,2023-02-16
687,15121,Monthly,50,2023-07-09
688,27774,Monthly,50,2024-05-13
689,23970,Quarterly,50,2023-07-26
690,24607,Yearly,400,2023-08-13
691,18574,Yearly,120,2024-04-25
692,17243,Quarterly,120,2023-07-18
693,1283,Yearly,,2023-05-30
694,7690,Monthly,400,2023-08-09
695,11889,Quarterly,,2023-04-23
696,16873,Quarterly,120,2023-12-13
697,29075,Yearly,400,2024-02-22
698,28981,Yearly,50,2023-11-09
699,29296,Quarterly,50,2024-03-12
700,3745,Monthly,400,2023-10-14
701,1285,Yearly,50,2024-07-12
702,15708,Quarterly,400,2023-08-31
703,7010,Monthly,,2023-02-13
704,14952,Quarterly,120,2024-06-22
705,9111,Quarterly,400,2023-07-17
706,21062,Monthly,400,2023-11-17
707,24378,Yearly,50,2024-03-09
708,17580,Yearly,400,2023-09-14
709,28964,Quarterly,400,2023-03-30
710,13058,Yearly,50,2024-03-09
711,883,Quarterly,50,2023-03-10
712,15180,Quarterly,120,2024-08-09
713,3569,Yearly,400,2024-07-21
714,26071,Quarterly,400,2024-01-12
715,17087,Monthly,,2023-09-27
716,29501,Quarterly,400,2023-02-05
717,6077,Quarterly,400,2023-12-27
718,5999,Yearly,400,2023-09-09
719,13788,Quarterly,50,2024-03-09
720,28563,Monthly,50,2024-01-27
721,30653,Yearly,120,2023-10-06
722,3720,Quarterly,120,2024-06-04
723,7762,Quarterly,400,2024-07-19
724,19902,Monthly,50,2024-05-07
725,25928,Quarterly,400,2023-01-05
